iteration,score,best_so_far
0,1.2064901619538415,1.2064901619538415
1,1.2122391318614365,1.2064901619538415
2,1.2292740653849679,1.2064901619538415
3,1.2202372998344237,1.2064901619538415
4,1.1985312869449618,1.1985312869449618
5,1.3487867413199597,1.1985312869449618
6,1.1753341394930186,1.1753341394930186
7,1.1885769991198976,1.1753341394930186
8,1.237856033281396,1.1753341394930186
9,1.2143323970367794,1.1753341394930186
10,1.3335113710698412,1.1753341394930186
11,1.2547241458138059,1.1753341394930186
12,1.2368062307678132,1.1753341394930186
13,1.3240926538731996,1.1753341394930186
14,1.2678582402850038,1.1753341394930186
15,1.2391916730103956,1.1753341394930186
16,1.187181374164117,1.1753341394930186
17,1.2081174834171078,1.1753341394930186
18,1.2597093509465254,1.1753341394930186
19,1.194014598149937,1.1753341394930186
20,1.188160618172171,1.1753341394930186
21,1.1889685983874183,1.1753341394930186
22,1.2184713303335573,1.1753341394930186
23,1.1787285925461903,1.1753341394930186
24,1.1645779574359747,1.1645779574359747
25,1.1860557147544768,1.1645779574359747
26,1.1997380970786242,1.1645779574359747
27,1.3746563497264799,1.1645779574359747
28,1.200686115822282,1.1645779574359747
29,1.1669853307842466,1.1645779574359747
30,1.1856106603249204,1.1645779574359747
31,1.188260221254258,1.1645779574359747
32,1.1925376447695564,1.1645779574359747
33,1.230948226829695,1.1645779574359747
34,1.346534726801547,1.1645779574359747
35,1.2545674261108364,1.1645779574359747
36,1.3794784885606763,1.1645779574359747
37,1.285899187686885,1.1645779574359747
38,1.2465417541001373,1.1645779574359747
39,1.207181109527123,1.1645779574359747
40,1.1544199175822134,1.1544199175822134
41,1.1985341713488156,1.1544199175822134
42,1.1825854084536849,1.1544199175822134
43,1.2051992488164662,1.1544199175822134
44,1.1785013234760344,1.1544199175822134
45,1.2090219430565086,1.1544199175822134
46,1.2346912507863659,1.1544199175822134
47,1.2580588315096157,1.1544199175822134
48,1.2503086139103796,1.1544199175822134
49,1.264943245962572,1.1544199175822134
50,1.2037005036755009,1.1544199175822134
51,1.2414648098733616,1.1544199175822134
52,1.1628449407382502,1.1544199175822134
53,1.2274862448617156,1.1544199175822134
54,1.3096601994549797,1.1544199175822134
55,1.242533716725289,1.1544199175822134
56,1.319483125331098,1.1544199175822134
57,1.235860110247421,1.1544199175822134
58,1.2602652232137828,1.1544199175822134
59,1.2511715365212615,1.1544199175822134
60,1.253100673239484,1.1544199175822134
61,1.2892849203770709,1.1544199175822134
62,1.2449753846868896,1.1544199175822134
63,1.171091866937035,1.1544199175822134
64,1.225358434522447,1.1544199175822134
65,1.2212605017840428,1.1544199175822134
66,1.3279159825126057,1.1544199175822134
67,1.2212444861707246,1.1544199175822134
68,1.3492017313216662,1.1544199175822134
69,1.3421512727143619,1.1544199175822134
70,1.1872335077181277,1.1544199175822134
71,1.3132824011169262,1.1544199175822134
72,1.2111402095438941,1.1544199175822134
73,1.3347103951323411,1.1544199175822134
74,1.168185068845949,1.1544199175822134
75,1.3036698758322058,1.1544199175822134
76,1.240907803858658,1.1544199175822134
77,1.168811085688852,1.1544199175822134
78,1.3600783757206825,1.1544199175822134
79,1.3212963510306102,1.1544199175822134
80,1.2440680271880424,1.1544199175822134
81,1.1917560789972164,1.1544199175822134
82,1.195657776229577,1.1544199175822134
83,1.163084119603108,1.1544199175822134
84,1.2809638595347452,1.1544199175822134
85,1.27273388070801,1.1544199175822134
86,1.18010001226907,1.1544199175822134
87,1.2037655832854985,1.1544199175822134
88,1.2399208019133257,1.1544199175822134
89,1.1924238265905727,1.1544199175822134
90,1.3465841117677,1.1544199175822134
91,1.1777604706301728,1.1544199175822134
92,1.1890107442986426,1.1544199175822134
93,1.1783835488142491,1.1544199175822134
94,1.370787719266965,1.1544199175822134
95,1.1466868498076277,1.1466868498076277
96,1.1674846693665233,1.1466868498076277
97,1.2237690160131305,1.1466868498076277
98,1.259925586012246,1.1466868498076277
99,1.3583939946490595,1.1466868498076277
