iter,params,score,pred_mu,pred_std
0,{'models__learning_rate': 0.1302171277662968},1.196345684365763,,
1,{'models__learning_rate': 0.06021712776629678},1.165448767640801,1.1654487682130057,1.0000005964815199e-05
2,{'models__learning_rate': 0.09521712776629676},1.194306888563281,1.1943051980051678,9.99932870624019e-06
3,{'models__learning_rate': 0.025217127766296775},1.145387071079657,1.145113936625421,9.961406753930376e-06
4,{'models__learning_rate': 0.04271712776629678},1.1572927669126514,1.1551535874605179,7.0430177201564115e-06
5,{'models__learning_rate': 0.11271712776629676},1.2097978458206164,1.204047478735447,6.844857761341457e-06
6,{'models__learning_rate': 0.07771712776629677},1.186815808925289,1.1849518455564976,5.77809698360306e-06
7,{'models__learning_rate': 0.14771712776629678},1.236213838237584,1.2294395565986633,9.422990551287632e-06
8,{'models__learning_rate': 0.016467127766296778},1.1277984003623234,1.1292885560542345,8.398083460988749e-06
9,{'models__learning_rate': 0.08646712776629677},1.162759035358009,1.1817337572574615,4.6638254098809425e-06
10,{'models__learning_rate': 0.01},1.1146603012172227,1.1173133589327335,7.729172126066123e-06
11,{'models__learning_rate': 0.07462484589431131},1.1839958483792694,1.1780530586838722,4.246111963714597e-06
12,{'models__learning_rate': 0.07236885194220213},1.1756069199377068,1.176823414862156,3.9750505850080215e-06
13,{'models__learning_rate': 0.12541678120824587},1.1897783797167596,1.2019174098968506,4.951526043989837e-06
14,{'models__learning_rate': 0.06916618643578323},1.1703801902859337,1.1748186275362968,3.815264748108955e-06
15,{'models__learning_rate': 0.06219426993440825},1.1543346991949552,1.1691777855157852,3.896119396116138e-06
16,{'models__learning_rate': 0.1340274716066583},1.199081677700903,1.2086734622716904,4.631697038907767e-06
17,{'models__learning_rate': 0.06441310053084687},1.1604652473353674,1.1692805737257004,3.5191198861059327e-06
18,{'models__learning_rate': 0.06912612638522167},1.161540529753306,1.170499935746193,3.1482736657799535e-06
19,{'models__learning_rate': 0.1016244157138958},1.1796677921988747,1.184056706726551,4.144639522421124e-06
20,{'models__learning_rate': 0.05320838091586852},1.175916239773984,1.1642098277807236,3.7154873374964667e-06
21,{'models__learning_rate': 0.010016892950800192},1.1167644390105755,1.1170454961247742,5.9830992048019086e-06
22,{'models__learning_rate': 0.03532573524475497},1.1479798484601973,1.1505246609449387,3.860091088756097e-06
23,{'models__learning_rate': 0.01001306509207522},1.1162568549589151,1.116729292087257,5.12106973402902e-06
24,{'models__learning_rate': 0.01262871749889403},1.1194747907393896,1.1209427379071712,4.1209995775880845e-06
25,{'models__learning_rate': 0.08198006001355253},1.166763980387614,1.1752953827381134,2.9319147007996667e-06
26,{'models__learning_rate': 0.012652788436976939},1.1193360017906036,1.1208021566271782,3.8062040441930074e-06
27,{'models__learning_rate': 0.02002680375561742},1.1412115415619712,1.1331908404827118,3.1130412396321588e-06
28,{'models__learning_rate': 0.030265116528266377},1.152678898018338,1.1467123553156853,3.2996904707106864e-06
29,{'models__learning_rate': 0.010004412214853693},1.1165061970368135,1.117020532488823,3.894067171639156e-06
30,{'models__learning_rate': 0.01000221919193806},1.1164981861092105,1.1169480923563242,3.629113489383567e-06
31,{'models__learning_rate': 0.012843713854584342},1.120887903738612,1.122011587023735,2.983006288975631e-06
32,{'models__learning_rate': 0.04751270118495066},1.155745112607029,1.160743609070778,3.247752436694679e-06
33,{'models__learning_rate': 0.010004989663279083},1.1165238642215345,1.1168801859021187,3.276697243650222e-06
34,{'models__learning_rate': 0.11929667341776647},1.1824485428870724,1.1917861700057983,3.7414082888243865e-06
35,{'models__learning_rate': 0.14068759392340557},1.2263977095450713,1.218757376074791,4.9695540135485756e-06
36,{'models__learning_rate': 0.014668193271285535},1.1314050687276838,1.1255187839269638,2.568300616400939e-06
37,{'models__learning_rate': 0.010002516480254235},1.1152658170464427,1.1169057246297598,3.0298132049370046e-06
38,{'models__learning_rate': 0.011517915921770112},1.1218090322080903,1.1199212968349457,2.677755665579213e-06
39,{'models__learning_rate': 0.03873525864474093},1.1575458247352706,1.1554157249629498,3.107919297350526e-06
40,{'models__learning_rate': 0.10648484550963579},1.1838459322581536,1.1833890713751316,3.4683072887953725e-06
41,{'models__learning_rate': 0.010010524266197399},1.1163135667609263,1.1170141575857997,2.7992179337981112e-06
42,{'models__learning_rate': 0.011572836351935336},1.120133447790188,1.1199959833174944,2.48362620472916e-06
43,{'models__learning_rate': 0.010021912355872577},1.119113324188552,1.1171875596046448,2.6169892571436364e-06
44,{'models__learning_rate': 0.02231301213690756},1.1468112368708383,1.1379742473363876,2.318531617841893e-06
45,{'models__learning_rate': 0.09023920692044475},1.2058452730177163,1.178936243057251,2.8814199355620327e-06
46,{'models__learning_rate': 0.017668552093670326},1.1408731177767044,1.1311532706022263,2.0606479569018666e-06
47,{'models__learning_rate': 0.01139472175213412},1.1179926805090623,1.1203328371047974,2.3055905625035097e-06
48,{'models__learning_rate': 0.027513431438422532},1.150655611431136,1.1450579836964607,2.503062443261683e-06
49,{'models__learning_rate': 0.03294598180312979},1.149978547481412,1.1510391924530268,2.6616410577185506e-06
