iteration,score,best_so_far
0,1.2767827587886755,1.2767827587886755
1,1.245625078219641,1.245625078219641
2,1.261676063075275,1.245625078219641
3,1.259880540546911,1.245625078219641
4,1.29025166378954,1.245625078219641
5,1.2796747065690623,1.245625078219641
6,1.2422392838183047,1.2422392838183047
7,1.2910402490444686,1.2422392838183047
8,1.2832308055858475,1.2422392838183047
9,1.2536365700976544,1.2422392838183047
10,1.2827197601399918,1.2422392838183047
11,1.2342891933258928,1.2342891933258928
12,1.3716868928714065,1.2342891933258928
13,1.3275293372140482,1.2342891933258928
14,1.2666168203075647,1.2342891933258928
15,1.260476230901899,1.2342891933258928
16,1.2386214582587531,1.2342891933258928
17,1.250353315574107,1.2342891933258928
18,1.252027928622253,1.2342891933258928
19,1.240933595720956,1.2342891933258928
20,1.220934994666951,1.220934994666951
21,1.242567814519613,1.220934994666951
22,1.3362522422524048,1.220934994666951
23,1.236643206917142,1.220934994666951
24,1.2288407972762014,1.220934994666951
25,1.238999788091369,1.220934994666951
26,1.2347659245005624,1.220934994666951
27,1.2678361382095114,1.220934994666951
28,1.2435015579394542,1.220934994666951
29,1.2564022131040131,1.220934994666951
30,1.3246148030060112,1.220934994666951
31,1.3430930761644608,1.220934994666951
32,1.363544559215254,1.220934994666951
33,1.2466546665926523,1.220934994666951
34,1.2296912336347912,1.220934994666951
35,1.2561833165124048,1.220934994666951
36,1.2435278195743866,1.220934994666951
37,1.2400439826141891,1.220934994666951
38,1.2363305449794837,1.220934994666951
39,1.2281187531666733,1.220934994666951
