learner,tuner,rep,pehe,pehe_plug
x_rf,grid,0,0.19035793097916323,0.013926965261069811
x_rf,grid,1,0.2871061816251878,0.016959935846481252
x_rf,grid,2,0.228273365596858,0.016674690283529973
x_rf,grid,3,0.23840021206505577,0.013201483911880373
x_rf,grid,4,0.16540045241771723,0.013948418899196083
x_rf,random,0,0.19102139743154892,0.013242265641462893
x_rf,random,1,0.2830494891952763,0.01618301930487725
x_rf,random,2,0.22941096716994547,0.018401850323274304
x_rf,random,3,0.24347560574040777,0.013488021122182925
x_rf,random,4,0.16323712479026542,0.014076189184866614
x_rf,bayes,0,0.19377574130903702,0.016209454778650857
x_rf,bayes,1,0.285943727664343,0.0172561822495756
x_rf,bayes,2,0.23417079466696253,0.02118992586336897
x_rf,bayes,3,0.23770051030208922,0.014099481454167052
x_rf,bayes,4,0.16703170612400034,0.01580465105529028
