iteration,score,best_so_far
0,1.2143612029804431,1.2143612029804431
1,1.1538257983065778,1.1538257983065778
2,1.2009987812318057,1.1538257983065778
3,1.2272804459861484,1.1538257983065778
4,1.2110529369284455,1.1538257983065778
5,1.2369162630627955,1.1538257983065778
6,1.1879182699280566,1.1538257983065778
7,1.202969656041218,1.1538257983065778
8,1.227963812293176,1.1538257983065778
9,1.2105906664775208,1.1538257983065778
10,1.2272684620379575,1.1538257983065778
11,1.2055897587156197,1.1538257983065778
12,1.224924724258335,1.1538257983065778
13,1.2202268566335333,1.1538257983065778
14,1.1551313842538413,1.1538257983065778
15,1.196072181154939,1.1538257983065778
16,1.2112552452997107,1.1538257983065778
17,1.1861316863037472,1.1538257983065778
18,1.1560710483762717,1.1538257983065778
19,1.1941644662966806,1.1538257983065778
20,1.1871648984146277,1.1538257983065778
21,1.2178545726272607,1.1538257983065778
22,1.16032025800864,1.1538257983065778
23,1.2311723685550886,1.1538257983065778
24,1.2165842437837353,1.1538257983065778
25,1.1933366631114248,1.1538257983065778
26,1.1904203684512087,1.1538257983065778
27,1.1919562043742895,1.1538257983065778
28,1.2225999169326356,1.1538257983065778
29,1.2264881023276484,1.1538257983065778
30,1.211285201806253,1.1538257983065778
31,1.1959055937623682,1.1538257983065778
32,1.1531984148413146,1.1531984148413146
33,1.1897598228378796,1.1531984148413146
34,1.2228205142094586,1.1531984148413146
35,1.1998898482425198,1.1531984148413146
36,1.2233734903517395,1.1531984148413146
37,1.2070339900464733,1.1531984148413146
38,1.198424918535664,1.1531984148413146
39,1.1828810611279372,1.1531984148413146
40,1.1952140489131529,1.1531984148413146
41,1.2121884224511406,1.1531984148413146
42,1.2284916188636823,1.1531984148413146
43,1.2178433120623158,1.1531984148413146
44,1.2249966432765365,1.1531984148413146
45,1.2488369207369683,1.1531984148413146
46,1.215211747087327,1.1531984148413146
47,1.226160470433249,1.1531984148413146
48,1.1734994955707312,1.1531984148413146
49,1.207845162773317,1.1531984148413146
