iteration,score,best_so_far
0,1.203498291879874,1.203498291879874
1,1.3006560460526793,1.203498291879874
2,1.1971333773258308,1.1971333773258308
3,1.2197074601718434,1.1971333773258308
4,1.2285337020499376,1.1971333773258308
5,1.1977317737294213,1.1971333773258308
6,1.1816945526972338,1.1816945526972338
7,1.3524285050871325,1.1816945526972338
8,1.3465061778033267,1.1816945526972338
9,1.1758343514903806,1.1758343514903806
10,1.5244081256828874,1.1758343514903806
11,1.1910770530148291,1.1758343514903806
12,1.165735493976018,1.165735493976018
13,1.2218647274258585,1.165735493976018
14,1.2205492955761585,1.165735493976018
15,1.2081548714645507,1.165735493976018
16,1.23318727139431,1.165735493976018
17,1.2631573136232466,1.165735493976018
18,1.2827225329192313,1.165735493976018
19,1.2363396218339748,1.165735493976018
20,1.1681134697247642,1.165735493976018
21,1.4098030467609755,1.165735493976018
22,1.1385005514932374,1.1385005514932374
23,1.1534298661987143,1.1385005514932374
24,1.2141348079945955,1.1385005514932374
25,1.235352542768115,1.1385005514932374
26,1.1986148511177557,1.1385005514932374
27,1.1487402555622246,1.1385005514932374
28,1.181968028653924,1.1385005514932374
29,1.1661548445938477,1.1385005514932374
30,1.1499139425686973,1.1385005514932374
31,1.142283858453433,1.1385005514932374
32,1.1420442247596212,1.1385005514932374
33,1.1645536789019315,1.1385005514932374
34,1.1393460183125403,1.1385005514932374
35,1.151575142182458,1.1385005514932374
36,1.1328742645201948,1.1328742645201948
37,1.143290833501081,1.1328742645201948
38,1.1390151273261302,1.1328742645201948
39,1.1329526916761214,1.1328742645201948
40,1.4003450194907092,1.1328742645201948
41,1.1832006047796966,1.1328742645201948
42,1.1558721778089236,1.1328742645201948
43,1.1579651351226974,1.1328742645201948
44,1.168721137132975,1.1328742645201948
45,1.149617690674199,1.1328742645201948
46,1.1655725603381029,1.1328742645201948
47,1.141267439909121,1.1328742645201948
48,1.1456259292409465,1.1328742645201948
49,1.1942300985656757,1.1328742645201948
50,1.184119599535709,1.1328742645201948
51,1.14635720861744,1.1328742645201948
52,1.1471133877811261,1.1328742645201948
53,1.1471391326871982,1.1328742645201948
54,1.1671857895923015,1.1328742645201948
55,1.3994136129147403,1.1328742645201948
56,1.1956475477682211,1.1328742645201948
57,1.144339363532821,1.1328742645201948
58,1.1417334780998216,1.1328742645201948
59,1.175359078719397,1.1328742645201948
60,1.1472812424206686,1.1328742645201948
61,1.131395715578968,1.131395715578968
62,1.135792249727618,1.131395715578968
63,1.1381241478935251,1.131395715578968
64,1.1339526147279502,1.131395715578968
65,1.1404500516612386,1.131395715578968
66,1.1417397313881437,1.131395715578968
67,1.131359006157048,1.131359006157048
68,1.1340307132416723,1.131359006157048
69,1.1557197348291295,1.131359006157048
70,1.1345074879589772,1.131359006157048
71,1.3458516978381387,1.131359006157048
72,1.135659037074814,1.131359006157048
73,1.1328625901565939,1.131359006157048
74,1.1633998768806135,1.131359006157048
75,1.1650866215807543,1.131359006157048
76,1.136351601942103,1.131359006157048
77,1.1330427987673701,1.131359006157048
78,1.1638303767600904,1.131359006157048
79,1.1340628635996823,1.131359006157048
