learner,tuner,rep,pehe,pehe_plug
x_rf,random,0,0.08636723534696925,0.19483222002241166
x_rf,random,1,0.13426995917321,0.4417338943040421
x_rf,random,2,0.1862033930766743,0.2522525040015459
x_rf,random,3,0.1916777732723865,0.19163609860808115
x_rf,random,4,0.0868377891745458,0.137977851809997
x_rf,bayes,0,0.07517496278921629,0.1977112238122862
x_rf,bayes,1,0.1469466628328442,0.4843551883312089
x_rf,bayes,2,0.18123187421522385,0.379337974077602
x_rf,bayes,3,0.21245545444679273,0.23697923566888185
x_rf,bayes,4,0.0776156524336697,0.14846028613873127
