iter,params,score,pred_mu,pred_std
0,"{'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(8)}",1.1482287590543319,,
1,"{'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(17)}",1.181375462675237,1.1813754625570996,1.0000000413701846e-05
2,"{'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(13)}",1.1673982813496906,1.1673982812329746,1.0000000413701846e-05
3,"{'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(3)}",1.17863826976037,1.178638269642506,1.0000000413701846e-05
4,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(15)}",1.1763736940404008,1.1763736939338427,1.0000005964815199e-05
5,"{'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(6)}",1.1560161738728112,1.1560161737659147,9.999994862585412e-06
6,"{'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(10)}",1.158896056905627,1.1588960567906694,1.000001151592547e-05
7,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(20)}",1.1897847520844171,1.1897847519654385,1.0000000413701846e-05
8,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(14)}",1.1992579274281896,1.1992579273162896,9.999994862585412e-06
9,"{'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4)}",1.1674226052266612,1.1674226051187566,1.0000000413701846e-05
10,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(5)}",1.1574981641948303,1.1574981640878481,1.0000005964815199e-05
11,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(11)}",1.1632227035761542,1.1632227034607396,1.000001151592547e-05
12,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1)}",1.185163115366102,1.1851631152476352,1.0000000413701846e-05
13,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(8)}",1.1480448101299363,1.148044810056223,1.0000000413701846e-05
14,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(20)}",1.2090176262838637,1.2090176261629755,1.0000005964815199e-05
15,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(7)}",1.1965153236001003,1.1965153234804877,9.999994862585412e-06
16,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(1)}",1.2023285865559086,1.2023285864445388,1.000001706703266e-05
17,"{'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(9)}",1.1574147517662552,1.1574147516757858,9.999978209217621e-06
18,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(6)}",1.16118106782554,1.1611810677222723,9.999989311465896e-06
19,"{'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(7)}",1.1537595975180872,1.153759597476643,1.000001151592547e-05
20,"{'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1)}",1.1793733630793852,1.1793733629653558,1.0000000413701846e-05
21,"{'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(20)}",1.1897847520844171,1.1897847519797897,1.000001151592547e-05
22,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(17)}",1.1823531752607408,1.1823531751998924,1.0000000413701846e-05
23,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(20)}",1.1905953580835156,1.1905953579812405,1.0000000413701846e-05
24,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(11)}",1.197008190186951,1.197008190069245,1.0000005964815199e-05
