iter,params,score,pred_mu,pred_std
0,"{'models__max_features': 0.8728243927833366, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(3), 'models__min_samples_split': np.int64(10)}",1.1685929115682476,,
1,"{'models__max_features': 0.4228243927833365, 'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(12), 'models__min_samples_split': np.int64(19)}",1.223081023541784,1.223081023419476,1.0000000413701846e-05
2,"{'models__max_features': 0.6478243927833365, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(17), 'models__min_samples_split': np.int64(15)}",1.2269683945349343,1.2269683944122374,1.0000000413701846e-05
3,"{'models__max_features': 0.19782439278333644, 'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(7), 'models__min_samples_split': np.int64(6)}",1.3657356086803611,1.365735608543788,9.999983760343299e-06
4,"{'models__max_features': 0.31032439278333646, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(15), 'models__min_samples_split': np.int64(13)}",1.2741007312845265,1.27410073115839,1.0000000413701846e-05
5,"{'models__max_features': 0.7603243927833364, 'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(4)}",1.1858960754351056,1.1858960753178005,1.0000005964815199e-05
6,"{'models__max_features': 0.5353243927833364, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(10), 'models__min_samples_split': np.int64(17)}",1.2020064631143692,1.202006462994193,1.0000005964815199e-05
7,"{'models__max_features': 0.9853243927833365, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(19), 'models__min_samples_split': np.int64(8)}",1.2302949757671566,1.2302949756441268,1.0000000413701846e-05
8,"{'models__max_features': 0.14157439278333644, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(9), 'models__min_samples_split': np.int64(5)}",1.3160300024961682,1.316030002364569,1.0000000413701846e-05
9,"{'models__max_features': 0.5915743927833365, 'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(18), 'models__min_samples_split': np.int64(14)}",1.252891944857372,1.2528919447325764,9.999994862585412e-06
10,"{'models__max_features': 0.721762124089737, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1686815430167823,1.168681542899914,1.0000000413701846e-05
11,"{'models__max_features': 0.784021748466731, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(2), 'models__min_samples_split': np.int64(20)}",1.180538436121408,1.1805384360041349,1.0000005964815199e-05
12,"{'models__max_features': 1.0, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.187150176351827,1.1871501762331123,1.0000000413701846e-05
13,"{'models__max_features': 1.0, 'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(3)}",1.2682977986608612,1.2682977985340347,9.999994862585412e-06
14,"{'models__max_features': 0.7196122261736377, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(6)}",1.1724276422913096,1.1724276421741053,1.0000000413701846e-05
15,"{'models__max_features': 1.0, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1833482805284412,1.1833482804569684,1.0000000413701846e-05
16,"{'models__max_features': 0.871717837495754, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(20)}",1.1764046263824401,1.1764046262648309,1.0000000413701846e-05
17,"{'models__max_features': 0.6020070116174845, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1826613429166517,1.1826613427379788,1.0000005964815199e-05
18,"{'models__max_features': 1.0, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(20), 'models__min_samples_split': np.int64(20)}",1.2393882400493106,1.2393882399253722,9.999983760343299e-06
19,"{'models__max_features': 0.7637124886798783, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(7), 'models__min_samples_split': np.int64(2)}",1.1805058396958232,1.1805058395777948,1.0000000413701846e-05
20,"{'models__max_features': 0.8435369079961953, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1773145804069758,1.1773145710736088,1.0000000413701846e-05
21,"{'models__max_features': 1.0, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1888211994086413,1.1888211993210676,1.0000000413701846e-05
22,"{'models__max_features': 0.6949777534897003, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.1927471535879957,1.1927471534822935,1.000001151592547e-05
23,"{'models__max_features': 0.8905101120596453, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.1743886799346124,1.1743886798514418,1.0000005964815199e-05
24,"{'models__max_features': 0.847650160848809, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(2)}",1.1764203006761647,1.1764203005640939,9.999994862585412e-06
25,"{'models__max_features': 0.5850589411299307, 'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.2097714115047777,1.209771411405809,1.000001151592547e-05
26,"{'models__max_features': 0.5827990368123717, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(20), 'models__min_samples_split': np.int64(20)}",1.2512521432303434,1.2512521431052566,1.0000000413701846e-05
27,"{'models__max_features': 0.8516075897863898, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.181168510544499,1.181168510736679,1.0000005964815199e-05
28,"{'models__max_features': 0.3027200984859254, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(7)}",1.1970075298123084,1.1970075297333735,9.999994862585412e-06
29,"{'models__max_features': 0.9987876939128753, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(8), 'models__min_samples_split': np.int64(2)}",1.1763551779039003,1.176355177797618,1.0000005964815199e-05
30,"{'models__max_features': 0.9391979169310786, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(2)}",1.1739649281780817,1.1739649280924793,9.999989311465896e-06
31,"{'models__max_features': 1.0, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(8), 'models__min_samples_split': np.int64(20)}",1.1742945965062606,1.1742945963890188,9.999983760343299e-06
32,"{'models__max_features': 0.8890218336022222, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(2)}",1.1702288233725924,1.170228823269543,9.999994862585412e-06
33,"{'models__max_features': 0.8962648813528054, 'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(20)}",1.173869888602676,1.173869888508403,1.0000028169237795e-05
34,"{'models__max_features': 0.8828322696295263, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(20)}",1.1729905890348282,1.1729905889413035,1.0000000413701846e-05
35,"{'models__max_features': 1.0, 'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(20), 'models__min_samples_split': np.int64(3)}",1.2753366852665888,1.2753366851390553,1.0000000413701846e-05
36,"{'models__max_features': 0.7935695901870702, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(3), 'models__min_samples_split': np.int64(2)}",1.1713171766099664,1.1713171765194015,1.0000022618136768e-05
37,"{'models__max_features': 0.9249873504722573, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(2)}",1.1735112763755318,1.1735112763735303,1.0000000413701846e-05
38,"{'models__max_features': 0.7764707062070174, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(3), 'models__min_samples_split': np.int64(20)}",1.177654961607692,1.177654961515643,9.999989311465896e-06
39,"{'models__max_features': 0.10787226210972704, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(20), 'models__min_samples_split': np.int64(4)}",1.4660838167165444,1.4660838165699528,1.0000005964815199e-05
40,"{'models__max_features': 0.39931891849189327, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.2058056832589013,1.2058056831998372,1.0000000413701846e-05
41,"{'models__max_features': 1.0, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(8), 'models__min_samples_split': np.int64(20)}",1.1784177701123697,1.1784177700029006,9.999989311465896e-06
42,"{'models__max_features': 0.9271757266083078, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(20)}",1.1749460505117242,1.174946050433333,9.999978209217621e-06
43,"{'models__max_features': 0.9190004094583893, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(2)}",1.170967047447185,1.1709670474281662,9.999989311465896e-06
44,"{'models__max_features': 0.9188693357108796, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.1680917668881374,9.999994862585412e-06
45,"{'models__max_features': 0.1150349400602708, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(10)}",1.328372000025701,1.3283719998937276,1.0000005964815199e-05
46,"{'models__max_features': 0.4443616727891523, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.2030109163087583,1.203010916247814,1.000001151592547e-05
47,"{'models__max_features': 0.6508484270972812, 'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(5)}",1.2646977970352775,1.2646977969229831,9.999961555822096e-06
48,"{'models__max_features': 0.6405494197531881, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(2)}",1.1874441851977329,1.187444185159342,1.0000000413701846e-05
49,"{'models__max_features': 0.9539024676875185, 'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(2)}",1.1763169521179382,1.176316952058654,1.0000000413701846e-05
50,"{'models__max_features': 0.9174633028163361, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(2)}",1.170967047447185,1.1709670507121288,9.999789469111014e-06
51,"{'models__max_features': 0.7256053171660131, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.1785927599761628,1.1785927620057137,9.999994862585412e-06
52,"{'models__max_features': 0.914393401186237, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(20)}",1.179070188559546,1.1790701884814234,9.999983760343299e-06
53,"{'models__max_features': 1.0, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(2)}",1.1779404312531885,1.1779404311864943,1.0000000413701846e-05
54,"{'models__max_features': 0.9184091890853258, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(7), 'models__min_samples_split': np.int64(20)}",1.1747700925592799,1.1747700925325981,1.0000028169237795e-05
55,"{'models__max_features': 0.8866340985491368, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.1680917668944615,1.0000005964815199e-05
56,"{'models__max_features': 0.8820201012454603, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.168091091867609,9.96591955527659e-06
57,"{'models__max_features': 0.8784918684489164, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.1680914007192769,9.062595413334296e-06
58,"{'models__max_features': 0.8823298803223176, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.1696763667789423,1.169676366730625,1.0000022618136768e-05
59,"{'models__max_features': 0.683732692522436, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(7), 'models__min_samples_split': np.int64(3)}",1.1812390887127961,1.18123908862465,1.0000005964815199e-05
60,"{'models__max_features': 0.8381791133620016, 'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(13), 'models__min_samples_split': np.int64(2)}",1.204334641887321,1.2043346417668879,9.999983760343299e-06
61,"{'models__max_features': 0.8805462056835376, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(10), 'models__min_samples_split': np.int64(2)}",1.1778085761619626,1.1778085760564994,1.0000000413701846e-05
62,"{'models__max_features': 0.8675704787870927, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(2)}",1.1723422812578044,1.172342281247028,1.0000005964815199e-05
63,"{'models__max_features': 0.8937627642845378, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.1696763667789423,1.1696763666753327,9.999983760343299e-06
64,"{'models__max_features': 1.0, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(12), 'models__min_samples_split': np.int64(18)}",1.1919195765947002,1.1919195765061938,9.999989311465896e-06
65,"{'models__max_features': 0.8947785059681052, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(2)}",1.174021004864544,1.174021004793871,1.0000000413701846e-05
66,"{'models__max_features': 0.8842236308557344, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.1680919262869338,5.6420526983769245e-06
67,"{'models__max_features': 0.5990276247875438, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(11), 'models__min_samples_split': np.int64(2)}",1.1978125735341771,1.197812573447108,1.0000000413701846e-05
68,"{'models__max_features': 0.3722373384622222, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(20)}",1.2006657507846163,1.200665750711673,1.0000000413701846e-05
69,"{'models__max_features': 0.7118411053470863, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(9), 'models__min_samples_split': np.int64(20)}",1.1832686414134794,1.1832686413257814,9.999994862585412e-06
70,"{'models__max_features': 1.0, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(11), 'models__min_samples_split': np.int64(2)}",1.1845433780699641,1.184543377965318,9.999983760343299e-06
71,"{'models__max_features': 1.0, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(20)}",1.1748566624753842,1.1748566605430568,1.0000005964815199e-05
72,"{'models__max_features': 0.873720112797908, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.1680915566471413,8.838398634032656e-06
73,"{'models__max_features': 1.0, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(10), 'models__min_samples_split': np.int64(2)}",1.1817413992263635,1.1817413991221573,1.0000000413701846e-05
74,"{'models__max_features': 0.9145241788883528, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(3), 'models__min_samples_split': np.int64(9)}",1.1669927251032968,1.1669927250181464,1.0000005964815199e-05
75,"{'models__max_features': 0.877623272069189, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(3), 'models__min_samples_split': np.int64(8)}",1.1662360214140266,1.1662360213058676,9.999994862585412e-06
76,"{'models__max_features': 0.9159695733347385, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(3), 'models__min_samples_split': np.int64(2)}",1.1733046173466097,1.173304617255603,9.999994862585412e-06
77,"{'models__max_features': 0.8082434560958786, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(8)}",1.1788435271900262,1.1788435271250848,9.999989311465896e-06
78,"{'models__max_features': 0.896318406945381, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.168091897669683,7.111562592543016e-06
79,"{'models__max_features': 0.8948286383674287, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.168091766978392,1.1680918536055742,5.670768017497071e-06
