iteration,score,best_so_far
0,1.28710840747162,1.28710840747162
1,1.2399655450410083,1.2399655450410083
2,1.2644511727301608,1.2399655450410083
3,1.2843264954313747,1.2399655450410083
4,1.2287203452900577,1.2287203452900577
5,1.226869719258518,1.226869719258518
6,1.2075348584667343,1.2075348584667343
7,1.209120746006331,1.2075348584667343
8,1.1987392675458481,1.1987392675458481
9,1.2113605636011475,1.1987392675458481
10,1.1854708053071128,1.1854708053071128
11,1.275562196561842,1.1854708053071128
12,1.2639650507313827,1.1854708053071128
13,1.1824943864156892,1.1824943864156892
14,1.2685909730345717,1.1824943864156892
15,1.2701529844215982,1.1824943864156892
16,1.2838360516690381,1.1824943864156892
17,1.300125834996747,1.1824943864156892
18,1.1951158710005003,1.1824943864156892
19,1.1977708054208782,1.1824943864156892
