iteration,score,best_so_far
0,1.4350864653346054,1.4350864653346054
1,1.3329329037697926,1.3329329037697926
2,1.3693393234246496,1.3329329037697926
3,1.4119313476888096,1.3329329037697926
4,1.3482020228402274,1.3329329037697926
5,1.33740441972527,1.3329329037697926
6,1.3489419986637132,1.3329329037697926
7,1.3437484745367219,1.3329329037697926
8,1.333284630207248,1.3329329037697926
9,1.3460296808713377,1.3329329037697926
10,1.3084741173705732,1.3084741173705732
11,1.4099949498801287,1.3084741173705732
12,1.3577488356544325,1.3084741173705732
13,1.2956253890746023,1.2956253890746023
14,1.3760699133475314,1.2956253890746023
15,1.3848960932320036,1.2956253890746023
16,1.4105724599558254,1.2956253890746023
17,1.4174994019610594,1.2956253890746023
18,1.3140679904860155,1.2956253890746023
19,1.3108317278504245,1.2956253890746023
20,1.332867719813574,1.2956253890746023
21,1.4410218372477714,1.2956253890746023
22,1.3593457231147437,1.2956253890746023
23,1.3840495996430564,1.2956253890746023
24,1.2991742119341547,1.2956253890746023
25,1.3270344449602638,1.2956253890746023
26,1.3085351754175336,1.2956253890746023
27,1.3282354609642848,1.2956253890746023
28,1.3334207287503217,1.2956253890746023
29,1.3561103191020851,1.2956253890746023
30,1.4143552078257382,1.2956253890746023
31,1.345508628678271,1.2956253890746023
32,1.3834429184521013,1.2956253890746023
33,1.30502545110172,1.2956253890746023
34,1.2944765583017261,1.2944765583017261
35,1.3244638562150965,1.2944765583017261
36,1.2691740757627568,1.2691740757627568
37,1.3329289018352213,1.2691740757627568
38,1.3039995697571678,1.2691740757627568
39,1.3988322963124062,1.2691740757627568
40,1.3344461375058894,1.2691740757627568
41,1.2982244301651262,1.2691740757627568
42,1.3243896482092743,1.2691740757627568
43,1.3631969156803736,1.2691740757627568
44,1.4421747603111503,1.2691740757627568
45,1.371142017967303,1.2691740757627568
46,1.2825803754968212,1.2691740757627568
47,1.4244117074216314,1.2691740757627568
48,1.349334981035402,1.2691740757627568
49,1.3713782878727878,1.2691740757627568
50,1.4084569902245974,1.2691740757627568
51,1.3977154844222683,1.2691740757627568
52,1.4286350725066226,1.2691740757627568
53,1.4556596740026684,1.2691740757627568
54,1.3056450071878105,1.2691740757627568
55,1.2675975138755171,1.2675975138755171
56,1.273393483099248,1.2675975138755171
57,1.3759114125806426,1.2675975138755171
58,1.3988873246148394,1.2675975138755171
59,1.3744058684700562,1.2675975138755171
