learner,tuner,pehe_mean,pehe_var,pehe_plug_mean,pehe_plug_var
x_rf,grid,0.16881468447916712,0.00292596284361756,0.010785459173509006,9.131423923837526e-06
x_rf,random,0.1879785900045947,0.0026973480816097186,0.013239679802267718,1.2195747723362594e-05
x_rf,bayes,0.1736286514013802,0.0022904024886613557,0.01153415014734772,6.749053083481472e-06
x_cb,grid,0.3355779456769828,0.0028036139963156645,0.042279685376851193,4.984498170643212e-05
x_cb,random,0.3217099559311273,0.00935862659287644,0.03407069156545299,2.269897143642205e-05
x_cb,bayes,0.32495283050763146,0.0016556421317286277,0.04090959995756556,1.9971505385199963e-05
