learner,tuner,rep,pehe,pehe_plug
x_rf,random,0,0.1483506989448406,0.2128311548812965
x_rf,random,1,0.2840334023229732,0.27498168504788967
x_rf,random,2,0.08558955842358117,0.16222621808404225
x_rf,random,3,0.30123345822831105,0.19080629046573913
x_rf,random,4,0.10337826756433982,0.23487889100927317
x_rf,random,5,0.12823470525216624,0.1540477650272079
x_rf,random,6,0.15552641840411657,0.25705595889161387
x_rf,random,7,0.1464533874817596,0.1516006165890239
x_rf,random,8,0.20145813438367974,0.34975348824948094
x_rf,random,9,0.09554153460483666,0.16602581725714283
x_rf,random,10,0.12221654531164006,0.3392304110124288
x_rf,random,11,0.11419959677469313,0.16513719174970978
x_rf,random,12,0.2122737072708209,0.23978930432798365
x_rf,random,13,0.12927316822150126,0.2098325952763846
x_rf,random,14,0.0872780160367291,0.24300159503965393
x_rf,random,15,0.14250301311255723,0.15679632790406825
x_rf,random,16,0.1625543012994736,0.1635711899312065
x_rf,random,17,0.11522879903129475,0.19642674371111762
x_rf,random,18,0.06956676893796404,0.1757448635734425
x_rf,random,19,0.1280924747350141,0.17962161054214534
x_rf,random,20,0.1474120843719696,0.1377497381017157
x_rf,random,21,0.1262343507708009,0.367171628901439
x_rf,random,22,0.1620238583918413,0.17969131491508716
x_rf,random,23,0.17914786977940292,0.19553558665168538
x_rf,random,24,0.09022084214253673,0.10949575442435827
x_rf,random,25,0.1971220916000796,0.23731467850127802
x_rf,random,26,0.15053146367483625,0.13733867149275641
x_rf,random,27,0.20226153778079964,0.13740980969667096
x_rf,random,28,0.27841393310153034,0.14047158004862492
x_rf,random,29,0.14972776711329414,0.2727171003586042
x_rf,bayes,0,0.15575281497440321,0.2575612218686436
x_rf,bayes,1,0.3037032074917165,0.3629753757799006
x_rf,bayes,2,0.08540899230507987,0.15645717664248154
x_rf,bayes,3,0.2990115994122352,0.28599806818911366
x_rf,bayes,4,0.10104141207544168,0.27467976217383966
x_rf,bayes,5,0.1267581159736815,0.2524048377099339
x_rf,bayes,6,0.15380711153552631,0.2543603796420965
x_rf,bayes,7,0.1268067732866833,0.18576951312959844
x_rf,bayes,8,0.18496773662515978,0.36621570098648615
x_rf,bayes,9,0.11421081951549313,0.11555205947576795
x_rf,bayes,10,0.1444097609453135,0.3756480203973479
x_rf,bayes,11,0.11319148090679769,0.16884893851699487
x_rf,bayes,12,0.23105589390313352,0.2201034507781637
x_rf,bayes,13,0.1416970248682955,0.25772806419836775
x_rf,bayes,14,0.08876206526227118,0.3098865861225312
x_rf,bayes,15,0.1149976331565837,0.20029396289201026
x_rf,bayes,16,0.15740174351800318,0.21139222657244489
x_rf,bayes,17,0.12863343149517498,0.2366166827692152
x_rf,bayes,18,0.0775743268821454,0.2021600898236785
x_rf,bayes,19,0.1422408748995209,0.23736975787120354
x_rf,bayes,20,0.12204353350473403,0.1572400552160882
x_rf,bayes,21,0.13801466044943642,0.45545749278045977
x_rf,bayes,22,0.1619322065780562,0.17475521392849344
x_rf,bayes,23,0.14431729312888433,0.23397020775662214
x_rf,bayes,24,0.09733532429109878,0.1658185995535033
x_rf,bayes,25,0.2147478786186926,0.2513645407139634
x_rf,bayes,26,0.1551163239546175,0.18540750367205858
x_rf,bayes,27,0.24973774640025853,0.17535480952846977
x_rf,bayes,28,0.2304828322407688,0.1683928671001561
x_rf,bayes,29,0.16842371997024747,0.3060850577957984
