learner,tuner,rep,pehe,pehe_plug
x_rf,grid,0,0.15592223205950492,0.2934202638174579
x_rf,grid,1,0.14424171352230808,0.37368948818698733
x_rf,grid,2,0.10049012125458766,0.6624295125574887
x_rf,grid,3,0.09279437221651662,0.359367140893345
x_rf,grid,4,0.14442387006203997,0.17463784744739633
x_rf,grid,5,0.08687540482701556,0.34001609060953863
x_rf,grid,6,0.15411679329757344,0.3488948867616974
x_rf,grid,7,0.20061480115238137,0.2509093424220607
x_rf,grid,8,0.1264423291815882,0.37437698347238324
x_rf,grid,9,0.130904215327424,0.3162134545248615
x_rf,grid,10,0.2097644123233178,0.3370669014165347
x_rf,grid,11,0.2263253106040585,0.463053018358556
x_rf,grid,12,0.09768790857735686,0.19005997417103937
x_rf,grid,13,0.1364147147162468,0.4546337001008369
x_rf,grid,14,0.19507822050738988,0.24925065471954236
x_rf,grid,15,0.148011405904297,0.43173904490613507
x_rf,grid,16,0.2180502910234498,0.24713865532143114
x_rf,grid,17,0.17733160584889415,0.4739255931192441
x_rf,grid,18,0.08774399224590337,0.34239777164849666
x_rf,grid,19,0.14256287404431267,0.2680216287587049
x_rf,grid,20,0.13379834086416328,0.24678241555447317
x_rf,grid,21,0.12620369774786114,0.3435271123983655
x_rf,grid,22,0.16579323359663004,0.266394032439808
x_rf,grid,23,0.3002209143493462,0.4097244951665687
x_rf,grid,24,0.10260371876240225,0.24533148587893927
x_rf,grid,25,0.28628215914272115,0.35946511019997995
x_rf,grid,26,0.11928269960009083,0.324009317869972
x_rf,grid,27,0.12330200888114742,0.27513626907326827
x_rf,grid,28,0.17189246419272675,0.3655398435598065
x_rf,grid,29,0.10835970091050189,0.2367655010724937
x_rf,random,0,0.16999520664500173,0.32946330128705686
x_rf,random,1,0.14424171352230808,0.37368948818698733
x_rf,random,2,0.08699437570931093,0.655998226972038
x_rf,random,3,0.09279437221651662,0.359367140893345
x_rf,random,4,0.14671405023597928,0.19909615153264099
x_rf,random,5,0.08687540482701556,0.34001609060953863
x_rf,random,6,0.15411679329757344,0.3488948867616974
x_rf,random,7,0.20061480115238137,0.2509093424220607
x_rf,random,8,0.1264423291815882,0.37437698347238324
x_rf,random,9,0.13321748758464466,0.3296697341681899
x_rf,random,10,0.2097644123233178,0.3370669014165347
x_rf,random,11,0.21735110897044116,0.43869032645551753
x_rf,random,12,0.09768790857735686,0.19005997417103937
x_rf,random,13,0.1322261203415777,0.44652838353470636
x_rf,random,14,0.19507822050738988,0.24925065471954236
x_rf,random,15,0.13536900825720222,0.4144977915030642
x_rf,random,16,0.20819228253973387,0.2572877269799013
x_rf,random,17,0.17733160584889415,0.4739255931192441
x_rf,random,18,0.08774399224590337,0.34239777164849666
x_rf,random,19,0.14256287404431267,0.2680216287587049
x_rf,random,20,0.14547433946497978,0.26359637029520433
x_rf,random,21,0.12620369774786114,0.3435271123983655
x_rf,random,22,0.16579323359663004,0.266394032439808
x_rf,random,23,0.3002209143493462,0.4097244951665687
x_rf,random,24,0.10260371876240225,0.24533148587893927
x_rf,random,25,0.2722459750893135,0.34172863198063463
x_rf,random,26,0.1338193717647784,0.3032501223806263
x_rf,random,27,0.11653822853569318,0.28428293859792786
x_rf,random,28,0.17189246419272675,0.3655398435598065
x_rf,random,29,0.10835970091050189,0.2367655010724937
x_rf,bayes,0,0.16999520664500173,0.32946330128705686
x_rf,bayes,1,0.14424171352230808,0.37368948818698733
x_rf,bayes,2,0.08699437570931093,0.655998226972038
x_rf,bayes,3,0.09279437221651662,0.359367140893345
x_rf,bayes,4,0.14671405023597928,0.19909615153264099
x_rf,bayes,5,0.08687540482701556,0.34001609060953863
x_rf,bayes,6,0.15411679329757344,0.3488948867616974
x_rf,bayes,7,0.20061480115238137,0.2509093424220607
x_rf,bayes,8,0.1264423291815882,0.37437698347238324
x_rf,bayes,9,0.13321748758464466,0.3296697341681899
x_rf,bayes,10,0.2097644123233178,0.3370669014165347
x_rf,bayes,11,0.21735110897044116,0.43869032645551753
x_rf,bayes,12,0.09768790857735686,0.19005997417103937
x_rf,bayes,13,0.1322261203415777,0.44652838353470636
x_rf,bayes,14,0.19507822050738988,0.24925065471954236
x_rf,bayes,15,0.13536900825720222,0.4144977915030642
x_rf,bayes,16,0.20819228253973387,0.2572877269799013
x_rf,bayes,17,0.17733160584889415,0.4739255931192441
x_rf,bayes,18,0.08774399224590337,0.34239777164849666
x_rf,bayes,19,0.14256287404431267,0.2680216287587049
x_rf,bayes,20,0.14547433946497978,0.26359637029520433
x_rf,bayes,21,0.12620369774786114,0.3435271123983655
x_rf,bayes,22,0.16579323359663004,0.266394032439808
x_rf,bayes,23,0.3002209143493462,0.4097244951665687
x_rf,bayes,24,0.10260371876240225,0.24533148587893927
x_rf,bayes,25,0.2722459750893135,0.34172863198063463
x_rf,bayes,26,0.1338193717647784,0.3032501223806263
x_rf,bayes,27,0.11653822853569318,0.28428293859792786
x_rf,bayes,28,0.17189246419272675,0.3655398435598065
x_rf,bayes,29,0.10835970091050189,0.2367655010724937
