learner,tuner,rep,pehe,pehe_plug
x_rf,random,0,0.07940668221003569,0.21678100249815155
x_rf,random,1,0.1614960157523907,0.5223169421760104
x_rf,random,2,0.1610533721497416,0.5046290256667144
x_rf,random,3,0.1878386062879744,0.24633362516409685
x_rf,random,4,0.06358764158741485,0.14561386749011881
x_rf,random,5,0.11234793708696554,0.31723326618934405
x_rf,random,6,0.1665716685636314,0.47645404605851327
x_rf,random,7,0.12603767225168813,0.2951684199484135
x_rf,random,8,0.09898941794259307,0.2460870301624421
x_rf,random,9,0.11701774013708904,0.15852111157803875
x_rf,random,10,0.11394286664077034,0.312202872540534
x_rf,random,11,0.1553443174695469,0.2229791510058008
x_rf,random,12,0.10972118298388649,0.2099187976011178
x_rf,random,13,0.15965280027433632,0.30393708297811317
x_rf,random,14,0.09000639971101251,0.18289262660139896
x_rf,random,15,0.14399886463490458,0.16839079626780268
x_rf,random,16,0.1859239827636481,0.11008726930544845
x_rf,random,17,0.12931736520167408,0.3570910056577404
x_rf,random,18,0.11984573594003056,0.364232926547024
x_rf,random,19,0.10131259314720174,0.14261265507518206
x_rf,bayes,0,0.07522101364977993,0.22550163295760095
x_rf,bayes,1,0.15856263918105643,0.5080858546734125
x_rf,bayes,2,0.14926839917410645,0.3828350907540666
x_rf,bayes,3,0.20049625302469384,0.22480955092480837
x_rf,bayes,4,0.06979169291181316,0.1686227599474669
x_rf,bayes,5,0.10112199198923873,0.32301210089231874
x_rf,bayes,6,0.15677610096125374,0.471708243316221
x_rf,bayes,7,0.08715274886185187,0.23232847915640992
x_rf,bayes,8,0.10395581927032521,0.24353180894365767
x_rf,bayes,9,0.1221522906422036,0.2716853967744122
x_rf,bayes,10,0.10412249375703381,0.2925935709223493
x_rf,bayes,11,0.1645031713483125,0.3362089075309912
x_rf,bayes,12,0.11508869694050151,0.2798631243076187
x_rf,bayes,13,0.15301750169730896,0.3149221314529591
x_rf,bayes,14,0.0958920728890074,0.23801511484359905
x_rf,bayes,15,0.14545989417125915,0.14699414003469605
x_rf,bayes,16,0.18895482202086827,0.10099543289937488
x_rf,bayes,17,0.13059994328691954,0.39485969087056516
x_rf,bayes,18,0.12889947344714883,0.38852615834679843
x_rf,bayes,19,0.09792618512572455,0.19927990745994476
