learner,tuner,rep,pehe,pehe_plug
x_rf,grid,0,0.09728083907122709,0.24421163167974613
x_rf,grid,1,0.1554619561368179,0.5065738594743168
x_rf,grid,2,0.18015674078923882,0.5620189685575859
x_rf,grid,3,0.21600728253451457,0.28781257686190365
x_rf,grid,4,0.07075458278382835,0.1868035909896768
x_rf,grid,5,0.10738378413639194,0.37491942482782975
x_rf,grid,6,0.1755907119068804,0.5376536978958396
x_rf,grid,7,0.13421998150469558,0.344169157939024
x_rf,grid,8,0.10113103748527774,0.2778411392141741
x_rf,grid,9,0.13006336113025377,0.28068340401425323
x_rf,grid,10,0.11660214180240303,0.36565741245535643
x_rf,grid,11,0.1645241766315462,0.40019969604562333
x_rf,grid,12,0.12598482403154956,0.32832166583103667
x_rf,grid,13,0.15730272320181493,0.33189140418551566
x_rf,grid,14,0.13187266155943536,0.30478747916631344
x_rf,grid,15,0.157558456043896,0.22640843919166126
x_rf,grid,16,0.19401091117968058,0.1319418476415786
x_rf,grid,17,0.14943255482429113,0.4736585005801653
x_rf,grid,18,0.1423138245849346,0.41083047301643866
x_rf,grid,19,0.10218143119430292,0.2147840199090848
x_rf,random,0,0.08853798557107032,0.24422667170566084
x_rf,random,1,0.1570569698220623,0.5254400566417492
x_rf,random,2,0.167274985512831,0.5587626181132255
x_rf,random,3,0.20734851815713268,0.27882815173490344
x_rf,random,4,0.07736673954030608,0.1996481040415829
x_rf,random,5,0.0998999885632217,0.35260987446303643
x_rf,random,6,0.16789527740180177,0.5393857061909637
x_rf,random,7,0.1335403062664828,0.3458555293741863
x_rf,random,8,0.10525340109491135,0.24110081486188467
x_rf,random,9,0.12947225441738958,0.27589387496800727
x_rf,random,10,0.12196596496382542,0.3632505348285963
x_rf,random,11,0.17571601143372179,0.42501284337917067
x_rf,random,12,0.12488167017486496,0.32539393517939424
x_rf,random,13,0.1645428063500967,0.3635851520813126
x_rf,random,14,0.12036222662884637,0.2977664135652762
x_rf,random,15,0.16832192389767398,0.23046976578877829
x_rf,random,16,0.19942468309251812,0.12978273231379034
x_rf,random,17,0.1422840695082914,0.46743619877593173
x_rf,random,18,0.1292538154629528,0.3946950795339971
x_rf,random,19,0.10047940243679505,0.2150663910303131
x_rf,bayes,0,0.08919984391300169,0.2461638469742116
x_rf,bayes,1,0.15319638760634713,0.5049480121282788
x_rf,bayes,2,0.17716636922409107,0.5569814473288861
x_rf,bayes,3,0.2129089305064291,0.29171541179073435
x_rf,bayes,4,0.07161340675562916,0.19098199810690888
x_rf,bayes,5,0.09833422348534918,0.33002409438095415
x_rf,bayes,6,0.17544207986594454,0.5404526220719392
x_rf,bayes,7,0.11684357421603805,0.3434191308807996
x_rf,bayes,8,0.10429536869839437,0.2770036463754928
x_rf,bayes,9,0.12231886381928049,0.2636566335762675
x_rf,bayes,10,0.1199316962004971,0.36804140507047056
x_rf,bayes,11,0.17090243580695386,0.42394864632460794
x_rf,bayes,12,0.13196020701604658,0.33680476134523313
x_rf,bayes,13,0.1574836821339823,0.32721744916214174
x_rf,bayes,14,0.11557467538752675,0.2984620988891678
x_rf,bayes,15,0.16067179803494266,0.2300883008377652
x_rf,bayes,16,0.18961307006506664,0.11182587051931153
x_rf,bayes,17,0.1455381330723973,0.4690697289502405
x_rf,bayes,18,0.16548068182408662,0.433210972373848
x_rf,bayes,19,0.09868009095283613,0.21385773872528963
