iteration,score,best_so_far
0,1.3228020797173685,1.3228020797173685
1,1.3131404375332278,1.3131404375332278
2,1.3179310622365672,1.3131404375332278
3,1.2692305183227435,1.2692305183227435
4,1.2874392799761674,1.2692305183227435
5,1.3238084361696703,1.2692305183227435
6,1.3128762884666692,1.2692305183227435
7,1.298245309189287,1.2692305183227435
8,1.2985050211711158,1.2692305183227435
9,1.2631513988580618,1.2631513988580618
10,1.2630878875534042,1.2630878875534042
11,1.267318709508558,1.2630878875534042
12,1.3374297556722015,1.2630878875534042
13,1.2796309040303242,1.2630878875534042
14,1.261517344093814,1.261517344093814
15,1.2608401169505805,1.2608401169505805
16,1.2692305183227435,1.2608401169505805
17,1.2771587911841376,1.2608401169505805
18,1.3228020797173685,1.2608401169505805
19,1.2790807262861321,1.2608401169505805
20,1.2730190154246905,1.2608401169505805
21,1.303660401833812,1.2608401169505805
22,1.317861827332291,1.2608401169505805
23,1.2845760612895236,1.2608401169505805
24,1.2797879238834193,1.2608401169505805
25,1.2783223839112179,1.2608401169505805
26,1.3228020797173685,1.2608401169505805
27,1.327171562551758,1.2608401169505805
28,1.2789915251962496,1.2608401169505805
29,1.2933711460683606,1.2608401169505805
30,1.2703503521553638,1.2608401169505805
31,1.280568712009839,1.2608401169505805
32,1.3069702660712703,1.2608401169505805
33,1.2630878875534042,1.2608401169505805
34,1.2869368183639935,1.2608401169505805
35,1.287834620051785,1.2608401169505805
36,1.3215681538718955,1.2608401169505805
37,1.2794148968757624,1.2608401169505805
38,1.2631513988580618,1.2608401169505805
39,1.2834234358396948,1.2608401169505805
40,1.2571078309117303,1.2571078309117303
41,1.264974036259867,1.2571078309117303
42,1.2869368183639935,1.2571078309117303
43,1.2642341144965508,1.2571078309117303
44,1.2780294012584366,1.2571078309117303
45,1.323789177932414,1.2571078309117303
46,1.2820093770481815,1.2571078309117303
47,1.2727410594990631,1.2571078309117303
48,1.283187394576954,1.2571078309117303
49,1.2933711460683606,1.2571078309117303
50,1.3416523545528978,1.2571078309117303
51,1.2627390600796053,1.2571078309117303
52,1.2849211898898247,1.2571078309117303
53,1.259102562282733,1.2571078309117303
54,1.3069702660712703,1.2571078309117303
55,1.3185374038199618,1.2571078309117303
56,1.3179089996546314,1.2571078309117303
57,1.2790807262861321,1.2571078309117303
58,1.275600214620942,1.2571078309117303
59,1.3416523545528978,1.2571078309117303
