iteration,score,best_so_far
0,1.206091017123083,1.206091017123083
1,1.3359373784131536,1.206091017123083
2,1.3109484719869124,1.206091017123083
3,1.1997048146039733,1.1997048146039733
4,1.303788770486796,1.1997048146039733
5,1.178101087431763,1.178101087431763
6,1.2813104375262172,1.178101087431763
7,1.2564196737757882,1.178101087431763
8,1.2686612672296358,1.178101087431763
9,1.4445038763162499,1.178101087431763
10,1.189380653024834,1.178101087431763
11,1.227559447505295,1.178101087431763
12,1.2199520289054286,1.178101087431763
13,1.2084476596133824,1.178101087431763
14,1.180731186382891,1.178101087431763
15,1.8835921443637187,1.178101087431763
16,1.5027707551395588,1.178101087431763
17,1.2562009707020507,1.178101087431763
18,1.4183845002940707,1.178101087431763
19,1.1656780945939096,1.1656780945939096
20,1.6321790185576102,1.1656780945939096
21,1.2702772987433049,1.1656780945939096
22,1.178155667216534,1.1656780945939096
23,1.2540404770767568,1.1656780945939096
24,1.1852328443804279,1.1656780945939096
25,1.2143406231118128,1.1656780945939096
26,1.3487885834590294,1.1656780945939096
27,1.16651952623725,1.1656780945939096
28,1.1992016141709527,1.1656780945939096
29,1.2389919840852175,1.1656780945939096
30,1.2045025200580606,1.1656780945939096
31,1.235120182197572,1.1656780945939096
32,1.246041872179478,1.1656780945939096
33,1.1656960712518765,1.1656780945939096
34,1.2068129656385167,1.1656780945939096
35,1.1914420315498895,1.1656780945939096
36,1.2276714371863011,1.1656780945939096
37,1.2752807597390932,1.1656780945939096
38,1.1960429941452384,1.1656780945939096
39,1.1689830385095559,1.1656780945939096
40,1.2066199363030232,1.1656780945939096
41,1.162637659824359,1.162637659824359
42,1.1709946543498508,1.162637659824359
43,1.1984831048498545,1.162637659824359
44,1.1721016297762512,1.162637659824359
45,1.2368461803703357,1.162637659824359
46,1.1579852792299576,1.1579852792299576
47,1.264048556227606,1.1579852792299576
48,1.1707906343400944,1.1579852792299576
49,1.344535037189261,1.1579852792299576
50,1.1534379219375708,1.1534379219375708
51,1.7335814995301828,1.1534379219375708
52,1.1647956336183174,1.1534379219375708
53,1.17813619866894,1.1534379219375708
54,1.215376992825055,1.1534379219375708
55,1.1584247451733087,1.1534379219375708
56,1.1645540428726397,1.1534379219375708
57,1.1687131638875778,1.1534379219375708
58,1.1612873277735354,1.1534379219375708
59,1.1919257865946873,1.1534379219375708
