learner,tuner,rep,pehe,pehe_plug
x_cb,random,0,0.06507144838875621,0.22446560558425765
x_cb,random,1,0.11256561397213327,0.42284589954313345
x_cb,random,2,0.19907193383151878,0.44987881133429125
x_cb,random,3,0.13705235756611756,0.3456759913443103
x_cb,random,4,0.08833105976702811,0.33984283984456004
x_cb,random,5,0.14778850760144727,0.4982201383465423
x_cb,random,6,0.11885857600942858,0.422118158655276
x_cb,random,7,0.13266450453966872,0.26630991544506555
x_cb,random,8,0.14222233648590887,0.3791477330865667
x_cb,random,9,0.16293434092201625,0.3644801060200772
x_cb,bayes,0,0.06806458304759326,0.20835553588298633
x_cb,bayes,1,0.13300463757782968,0.31486450175218283
x_cb,bayes,2,0.1917945229908332,0.33331425441791274
x_cb,bayes,3,0.1587177752211656,0.24307042580628452
x_cb,bayes,4,0.08805208981505036,0.19249266094578296
x_cb,bayes,5,0.13030601967122654,0.430231580398056
x_cb,bayes,6,0.09105872604138311,0.31398695884287736
x_cb,bayes,7,0.1142306263365278,0.38479136405073144
x_cb,bayes,8,0.16751782778247754,0.3615442245499171
x_cb,bayes,9,0.16305873501538354,0.2997457315378689
