learner,dimension,tuner,mean_final_score,std_final_score,min_final_score,max_final_score,n_iterations
x_cb,1d,bayes,1.1954207493824043,0.04987476457916376,1.1612685240853498,1.278923052704822,10
x_cb,1d,random,1.1672395464818863,0.04614560979839803,1.1221947021011045,1.239668397790412,10
x_cb,2d,bayes,1.1458520158847254,0.03810445199765431,1.1093272704121695,1.2011366308295437,20
x_cb,2d,random,1.2067174116530168,0.051901582011599154,1.1635987798883056,1.293341260767714,20
x_cb,4d,bayes,1.1481012818445284,0.03680145387812821,1.111913652854828,1.1990986160355184,40
x_cb,4d,random,1.1502403116731745,0.03854791182653738,1.1090525188801046,1.2038882254933982,40
x_cb,6d,bayes,1.1370593350249896,0.037408951660273936,1.105087053971902,1.1940192530616864,60
x_cb,6d,random,1.1431305542135337,0.03530135767023025,1.1087525850141795,1.195058651118478,60
x_rf,1d,bayes,1.2217158239056736,0.05379340673917951,1.1427340416878484,1.2714765284311422,10
x_rf,1d,random,1.2223884692045506,0.052894760086368404,1.14421475010413,1.2692835512452492,10
x_rf,2d,bayes,1.215430485290607,0.04850319918731962,1.1444938091577537,1.2554387416707615,40
x_rf,2d,random,1.216497847577638,0.04908331819358352,1.1444660422947532,1.2550671737513592,40
x_rf,4d,bayes,1.2063219448053846,0.04571802544067514,1.1401504050011997,1.2478187699034222,40
x_rf,4d,random,1.2129357236166405,0.04762156025574627,1.1409141771046485,1.2557117425025648,40
x_rf,6d,bayes,1.1972483157398326,0.053344369477925424,1.1279249243907326,1.2440073168730352,60
x_rf,6d,random,1.2076367547834428,0.05821841845474633,1.128213054789324,1.2588328685061108,60
