iteration,score,best_so_far
0,1.3454268920265815,1.3454268920265815
1,1.310184025970753,1.310184025970753
2,1.3432591070333497,1.310184025970753
3,1.2867872072948832,1.2867872072948832
4,1.30686624187684,1.2867872072948832
5,1.3375930093246673,1.2867872072948832
6,1.3299847965610567,1.2867872072948832
7,1.3599139463122605,1.2867872072948832
8,1.25889715988445,1.25889715988445
9,1.3210428047658827,1.25889715988445
10,1.2474875451332677,1.2474875451332677
11,1.3444250306507561,1.2474875451332677
12,1.3191186891241624,1.2474875451332677
13,1.3417447537100706,1.2474875451332677
14,1.3309376112092812,1.2474875451332677
15,1.319028944497887,1.2474875451332677
16,1.3466194456014258,1.2474875451332677
17,1.3316829455840458,1.2474875451332677
18,1.3306984701999485,1.2474875451332677
19,1.3486957992463076,1.2474875451332677
20,1.3179589147097401,1.2474875451332677
21,1.2949738788890903,1.2474875451332677
22,1.3177609103978722,1.2474875451332677
23,1.322993139751142,1.2474875451332677
24,1.2470910746937693,1.2470910746937693
25,1.3295148604515876,1.2470910746937693
26,1.3135476283126213,1.2470910746937693
27,1.3065971380026913,1.2470910746937693
28,1.3507128169565539,1.2470910746937693
29,1.307588413563179,1.2470910746937693
30,1.3317255102581735,1.2470910746937693
31,1.3570903602709512,1.2470910746937693
32,1.3549483874684363,1.2470910746937693
33,1.3220962629802302,1.2470910746937693
34,1.3242827856789707,1.2470910746937693
35,1.3293937709455854,1.2470910746937693
36,1.3398247077088765,1.2470910746937693
37,1.316839252573533,1.2470910746937693
38,1.3538860621309177,1.2470910746937693
39,1.3584129207288036,1.2470910746937693
40,1.2979021570122369,1.2470910746937693
41,1.3060483020508207,1.2470910746937693
42,1.2668754106014772,1.2470910746937693
43,1.2450943414496702,1.2450943414496702
44,1.3229548344824795,1.2450943414496702
45,1.261581765891413,1.2450943414496702
46,1.3569927526432322,1.2450943414496702
47,1.3841520624632888,1.2450943414496702
48,1.3236676039597433,1.2450943414496702
49,1.3013452802271503,1.2450943414496702
