iteration,score,best_so_far
0,1.2657811299732291,1.2657811299732291
1,1.282523301503433,1.2657811299732291
2,1.326757776057282,1.2657811299732291
3,1.2657264438135323,1.2657264438135323
4,1.280033985108144,1.2657264438135323
5,1.2659490554429322,1.2657264438135323
6,1.260727086918177,1.260727086918177
7,1.262681014807521,1.260727086918177
8,1.260966243131527,1.260727086918177
9,1.2763715014011816,1.260727086918177
10,1.270614046436139,1.260727086918177
11,1.2648263106757083,1.260727086918177
12,1.2674668396409758,1.260727086918177
13,1.2636264992907231,1.260727086918177
14,1.326757776057282,1.260727086918177
15,1.2842048314124732,1.260727086918177
16,1.3186601760130543,1.260727086918177
17,1.28975309746975,1.260727086918177
18,1.2550671737513592,1.2550671737513592
19,1.2783777611944338,1.2550671737513592
20,1.2730837167982123,1.2550671737513592
21,1.2675800512066753,1.2550671737513592
22,1.2625239003358484,1.2550671737513592
23,1.285586816376461,1.2550671737513592
24,1.2747137516763924,1.2550671737513592
25,1.2931993241874942,1.2550671737513592
26,1.2831137534361365,1.2550671737513592
27,1.2623797704959354,1.2550671737513592
28,1.2555183295258765,1.2550671737513592
29,1.2818037925535561,1.2550671737513592
30,1.2747395387935432,1.2550671737513592
31,1.2749216799746994,1.2550671737513592
32,1.3353515069031525,1.2550671737513592
33,1.2598152714371873,1.2550671737513592
34,1.2687990576408446,1.2550671737513592
35,1.2712113978542778,1.2550671737513592
36,1.2768529434743814,1.2550671737513592
37,1.2983429582741253,1.2550671737513592
38,1.264678546964849,1.2550671737513592
39,1.2723319369411952,1.2550671737513592
