learner,tuner,rep,pehe,pehe_plug
x_rf,grid,0,0.09728083907122709,0.24421163167974613
x_rf,grid,1,0.1554619561368179,0.5065738594743168
x_rf,grid,2,0.18015674078923882,0.5620189685575859
x_rf,grid,3,0.21600728253451457,0.28781257686190365
x_rf,grid,4,0.07075458278382835,0.1868035909896768
x_rf,random,0,0.08853798557107032,0.24422667170566084
x_rf,random,1,0.1570569698220623,0.5254400566417492
x_rf,random,2,0.167274985512831,0.5587626181132255
x_rf,random,3,0.20734851815713268,0.27882815173490344
x_rf,random,4,0.07736673954030608,0.1996481040415829
x_rf,bayes,0,0.08919984391300169,0.2461638469742116
x_rf,bayes,1,0.15319638760634713,0.5049480121282788
x_rf,bayes,2,0.17716636922409107,0.5569814473288861
x_rf,bayes,3,0.2129089305064291,0.29171541179073435
x_rf,bayes,4,0.07161340675562916,0.19098199810690888
